Year,Rating,Review
2023,5,favorite brand
2023,5,"overall happy with price/quality, shipping could be better."
2023,2,Payment method is worst
2023,1,I can't become a member fix it
2023,1,Boycott Sweden boycott Sweden apps
2023,5,we love h&m❤️
2023,1,"Not entirely sure what's going on, but the app was working fine a few days ago. Now, it won't even let me login or click anything. All that appears on the screen is the company's logo and that's it. I tried uninstalling and redownloading the app to see if it help. Sadly, nothing has change. Hopefully this can be fix asap, in the meanwhile I have to go on my web browser through my cell or laptop device."
2023,1,"The worst application I ever had. It's not working properly, I lost lot of time trying to order. Shame for HM."
2023,5,"excellent,I love it! All the items were as in the pictures!"
2023,1,Not user friendly. Inconvenient
2023,1,My order has got cancelled automatically?
2023,5,nice very nice keep it up
2023,5,satisfied
2023,4,From 2 weeks there is a constant popup informing me there is some important service unavailable and the app cannot function without it
2023,1,Worst app ever they deliver me the wrong colour as well as they don't have the exchange policy they only have return policy which take almost 30 days to refund.
2023,1,App is not working after last update.
2023,1,Can't open the app to register the return and the link to register return from the email doesn't work.
2023,4,Honestly this is the best app.
2023,1,Worst app I'm installing it! My parcel is missing which was prepaid and I can't even track it.
2023,5,Good
2023,4,Ok
2023,5,wow
2023,5,"Good quality products, H and M have all types of fits that we want."
2023,1,Nice
2023,1,Package is 12 days late. Support won't do anything. No items and no refund. Great service.
2023,1,I can't use my coupons WTH!!
2023,1,Can't open it for a month now
2023,5,great style
2023,1,This app is sooooooo expensive😡😡😡😡😡😡😡😡🤒🤒🤒🤒🤒😡😡😡🤒🤒🤒🤒🤒🤒🤒🤒🤒🤒🤒🤒🤒🤒This app is sooooooo expensive😡😡😡😡😡😡😡😡🤒🤒🤒🤒🤒😡😡😡🤒🤒🤒🤒🤒🤒🤒🤒🤒🤒🤒🤒🤒🤒
2023,4,overall good shopping experience but the app is quite slow intermittently and freezes while you're trying to scroll through items.
2023,5,"The selections are Amazing, even for this Foxy 60 something. 💕🌹🔥🤭🤠🌟👑💐🎊"
2023,5,easy to use choose and navigate
2023,2,Many foreigners live in South Korea and do not speak the KOREAN language. It would be great if I/the users could find the English language when choosing South Korea as the region.
2023,5,Good value for money
2023,5,I'm very thank full to this app because this apps give very good quality of clothes
2023,1,"Worst App, Coustomer Service is very poor , You will be frustrated while returning an item ,so be careful"
2023,5,love using the app
2023,5,"Previously thought H&M was just for youngsters, but discovered that their products are so varied that I, at 75, still find lots to buy from them. Their service is brilliant, delivery is always fast, and returns have been, at least up until now, excellent (I hear, and fear, that this may be changing - hope not!) Clothes are good value and home products are ""different"" - in a good way! I happily recommend H&M to everone."
2023,4,i love clothes :3
2023,1,Never ever purchase from app. They don't provide refund
2023,1,Stupid app gets stuck with smart lock
2023,5,good
2023,1,"worst shopping site ever made. when it selected the wrong payment mode, I pressed the back button. without me know the order was placed and it will be cancelled automatically within 24 hours. what I lost were: 1) the last piece of product in sale 2) the membership discount that I was getting today 3) my discount voucher of rs 300. so now even if I want to place another order I can't as I don't have my discount voucher and that product is unavailable!"
2023,4,Hairdressers 99999
2023,5,nice apo nice quality
2023,5,awesome 👍
2023,5,Fancinating
2023,5,best Service ever
2023,5,"Idk what to say but i know three things tho.. It has amazingggg products, shipping was good too and quality was just 🤌🤌"
2023,2,the app just crashes when you try to get to the student discount page. says a lot ab u guys 🤨
2023,5,Fabulous clothing from H&M never lets me down
2023,1,Worst shopping app Worst policies
2023,4,works but could use some optimizations.
2023,5,very easy to order
2023,5,my favorite shopping site 😁
2023,5,Good quality products
2023,5,akash
2023,2,"Why can't I see the full description on the size that model wears it's only showing half of the information untill size after that there's no actual information on what exact size XL m xs s nothing. Pls fix it before it used to show it properly, if I can't see the reference then how come I could place order for the perfect size for me. Pls pls pls fix this, I am currently stuck due to can't take reference according to the model height and what size he wearing in the photo, so I can't purchase it"
2023,1,my last order was not delivered to me why no courier service call me
2023,1,2 days the app did not work
2023,5,good
2023,1,"Please don't order from this app, never gives back the return fund on time!!! frustrating, and the amount is not small that we can ignore, all products thousands and more and if you don't get the money back it's wrong"
2023,5,🔥
2023,1,This is the most useless app in the world
2023,5,"quality,price, size ,looks all super👍"
2023,1,I'm not getting my refund even after 1 month despite continuous calls and mails.
2023,5,Love H&Ms cool style affordable fashion!
2023,3,"Why rating 3? Because they have increase the price drastically just because they have attract alot of customer sand the app sucks. Always under maintenance and can't add to favorite all most all the time i in login😕 Other than this, clothes are nice. 10/10"
2023,2,I ordered from this app like a thousand times and every time the sizes are all wrong like let me give u an example: I ordered recently 2 tops and a pair of trousers all M and they sent me L and XL please h&m fix this! I'm a regular customer and that's unacceptable !!
2023,3,discounts are not real!
2023,1,Worst app to order any online clothes they dont give responds to cash on delevry purchases they dont even send the parcels on time worst app not wanted to even give a single star rating to them
2023,4,"Wish navigation and finding items were easier- search function not that great. otherwise once you find things, ordering is pretty streamlined."
2023,4,al like the clothes and good quality but it's hard to get the right size. the S is like a medium and so on.
2023,1,Bhut bekar
2023,1,Not opening
2023,2,39 shoe size are not available 😭😭😭
2023,5,shopping made convenient!
2023,3,"Well, I have been shopping from H&M from the past few years and yeah got the membership too, but everytime I shop obviously it says that it'll give me points but why am I not getting any points even after getting my membership scanned. It's always on Zero. Rest I really like it. I just don't understand why am I not given points"
2023,1,"Terrible app always buggy. Had this app for years always buggy.Gives u weird taxes and different pricing even with free delivery/shipping they are changing the prices. Even if u changed nothing on ur order. customer service ""disconnects"" and the connection is ""lost"" and u lost the person u were talking to. Only want to buy here for one thing for somelse's for gift they picked out,don't like most of the mid-low quality.every now and then they have kinda nice things on sale but most of it is blah"
2023,5,love H&M quality clothes at good prices
2023,1,Horrible customer service and they took away free shipping from handicapped persons such as me who is in a wheelchair ♿️ and very old we are now penalized by this company who puts greed above it's customers 😢 everyone is upset by this and your delivery charges are crazy and irresponsible to say the least. jbergthun
2023,1,"It was good before, but from August, I can't log in into my account, as it says my data is incorrect. If I change password it still shows that's it's incorrect, although password is 100% correct and email is proper. I tried several times. On the line to fix it I need to wait over 5 minutes and still no response on how to fix it."
2023,2,"I think it's high time I start shopping from myntra instead, before it said free delivery on the order of 999 but now it says 1999 that too 149 is charge for delivery... I would treat myself with that amount instead than shipping charge"
2023,5,nice
2023,1,Can you please add another option of payment in you application like gcash.
2023,5,it's superb fantastic 👍
2023,1,"I'm sorry to say this but h&m doesn't not return the money, it's been 5 month l didn't received my refund."
2023,2,w2 2 2e22e
2023,1,"Used to be able to easy access settings, log out, but no longer !!"
2023,1,"I ordered 6 days ago from this app. They have been delaying my order, showing failed delivery attempt without attempting any delivery. Worst experience till now."
2023,2,Exchange option not available
