Year,Rating,Review
2023,5,Certified Soulja
2023,5,The app is great.
2023,1,"Not the app it used to be. It's slow, it crashes very often. The back button should be enabled."
2023,1,Sucks needs updating(app)
2023,1,"My last experience was great. App needs a health check and patches. App has no record of my last order, which made a repurchase of the same item more difficult than it needed to be. This time, I have tried to check out 4 times now. I switched payment methods to see if that helped and nothing. Since then, I have had two transaction texts come through from my CC. And my order is still sitting in my cart. Levis, please look into updating the ap. Thanks"
2023,1,"You're an abuse to be decent, but now you can't even get it to open. Please update this POS so people can shop."
2023,4,"Thank you, love levis"
2023,1,WILL NOT OPEN
2023,5,I have always loved Levi's. This app makes it so much easier to order them.
2023,1,"Cant stay logged in, doesn't have alot of certain types of levis (slim fit, dark denim, or stretch), WAY WAY WAY OVERPRICED!!! Throw the whole company away, levis has become a TERRIBLE LAZY AND GREEDY company!"
2023,5,Fantastic!!!!!!
2023,5,it's so cool
2023,5,"Relatively easy to use, prompt delivery"
2023,4,"I happen to be at a size that is not a usual combination one finds at a retailer. So happy that I do not have to sort all of the Levi's in the store that aren't arranged just to come to the realization that they have none of my size in any style. Then, thinking that I will try on something close hoping it has enough stretch, to allow it even to be buttoned. Thrilled to order the size I want and have a shot at getting through the app. Yes app could use better facets and easier payment integration"
2023,2,"OK to shop, but not buy. Higher prices than anywhere else for the same items."
2023,4,"The back button doesn't work?!?!!! This is a really sad oversight. ¯\_(ツ)_/¯ Now it literally won't even launch, says it gets an error. Again, this is a sad app. 😮‍💨"
2023,5,BADAZZ
2023,5,great service thank you
2023,5,Loved it
2023,1,Can't even log in or get anywhere in the app without turning on app notifications. No thanks.
2023,5,Nice
2023,5,I'm new but I'm sure it will be great
2023,5,I love Levi's
2023,5,Power owner of the united state first thing one bank 🏦 of united healthcare cover of FDA SCC CDC USDA SSE SCC ervin Nathan Charles Gaffney SC DMV id deampient of motor vehicle snap of Nathan Charles ervin ga state world of clothing
2023,4,I Items are too mixed up. The filter doesn't work properly
2023,1,"Great app,especially for thin guys that is hard to find pants in my size 28.Here you can get them.in this app you tons of choices,but to bad the pants wear out in the knees in less than a year.95% of the pairs purchased had holes,they asked to send photos of the Levies lables and the holes.I took pictures and sent them in.I'm disabled and can't work so it's not from crawling around misuse.I don't know how many pics they allowed,so I sent about 6 or 8 pics they denied to replace or refund the $"
2023,1,"No response from your add on Levi's , would not show the merchandise that you have"
2023,5,America's best jeans
2023,5,just good stuff !
2023,1,"Kept buffering and ""tailoring my experience,"" and I gave up and realized it's Amazon Day and spent $150 on Levi's shorts, jeans and shirts. Stocked up like I never have. Sorry your app sux but I'm good now...😎☕🍩🐈‍⬛✌️"
2023,5,so far so good
2023,5,I think they sale very nice bell bottom strecable jeans and alsoo jeans and very hip waist jeans .and flare cut jeans with zippers strectable jeans .and painted jeans with zipper in back jeans. And Levi's pants and very nice and very double pocket jeans in light white pants dark green pants in neon green.and my name DonyellE truesdale.
2023,5,"Great styles, quality & sales!"
2023,5,I love Levi! Been wearing them since the 70's. Great product!
2023,4,"I didn't order anything yet, but I'm a Levi's gal!"
2023,1,Cannot get past the Set Preference page
2023,5,"The check out process needs some work, but other than that detail it's a good app."
2023,5,amazing
2023,1,The app is to hard to use and the continual popups do not make it any easier.
2023,5,I'm a on line shopper so this app is wonderful
2023,5,70.years.of..weRing.levi.s
2023,1,Just checking it sadly no size 40's bottoms
2023,1,"App isn't working completely. I can't add items to my cart and most are almost sold out. It worked fine a few weeks ago, please help 🙏"
2023,5,One of my all time favorite designer jeans wear since 1980's
2023,5,Cool 😎
2023,4,Good
2023,1,This app is painfully bad. Each time you choose a different colour you need to select your size again. It also botched processing my order multiple times. It even charged my card without processing the order. Spent some time on the phone with customer support just to get it to go through. What a disaster of an app.
2023,5,andrew falcon king
2023,1,Boycott Levi's and their gender neutral clothing!
2023,5,Nejmaismailstudio
2023,4,"Pretty straight forward, see clothes, buy clothes"
2023,5,Yes I am really like to buy the Levi's best things
2023,2,"Was about to make a $200 purchase 5 minutes ago, but PayPal wouldn't with via the app. Kept giving me an ""error occurred message."" I realize I that my app needed to be updated, so I update it. I head back into the app and my cart is cleared. I try to add the product back in to the card, but now the app won't even let me add items into the cart."
2023,5,Wonderful and easy!
2023,1,"It's telling me an update is available. So I do the update, close the app and reopen the app and it's steady saying update available not allowing me to see anything. Frustrating."
2023,5,That why I buy wear Levi's for the last 40 plus yrs never did me wrong thank God Oh and about the App it works Good I just got to find out how to get the perks
2023,3,Hard time singing in with pay pal. Paul
2023,5,Awesome jeans
2023,5,I ❤️ Levi's
2023,1,I'm Looking For Men Levi's Big Bell Jean why are you not making them anymore
2023,5,simply Fast and Easy
2023,5,makes it easy to order and great service
2023,5,Easy to navigate
2023,5,Super selection on comfortable and high quality merchandise. Always been my favorite line for many years!! You Rock Levi!!
2023,1,Its sucks cause you can't to see good deals and how expensive the clothes are the app freezes it's just garbage 🗑️
