Year,Review,Rating
2023,"Amazing experience, recomand",5
2023,the app is slow. everything is out of stock,2
2023,"website never works, app is the bomb, clothing should be pictured in 1/2/4 grid options for quick scrolling and able to move fast through sections the app has never been user friendly for fast purchases. two many of the same clothing options are featured in 3 different versions (just colours variants) in different spots on the page, put the same item grouped together with the colours then move onto an item it doesn't make it clear to customers the item comes in several colours=loss of sales",4
2023,"I purchased an article while in France but I couldn't retrieve it in time. I was told I could be reimbursed but it never happened. The chat is very slow, turns off very fast to the point that you have to restart conversation everytime. None of my interlocutors were able to give a proper answer.",1
2023,"Write the model's height, so that I don't have to return the stuff that can only be bought online. Also, your measure of items are not always accurate.",4
2023,"Awesome clothing,love the fit and style",5
2023,Not a good app,1
2023,delivery takes too long,1
2023,"This app hangs too much, just a big no.",2
2023,"Worst app..nothing can be seen on the app except for menu items. If I click on any menu item, only blank image is displayed. And yes FYI there is no internet issue. My remaining apps are working absolutely fine. I have uninstalled it.",1
2023,cant do online return with shipping,1
2023,a lot of bugs in the app.,1
2023,"Love the products but payment is worst, gets stuck everytime.",2
2023,"Horrible online service. I don't know what kind of people working at their warehouse. They keep sending orders to wrong addresses and wrong stores for pick up. And then they can not even provide you any help. They are so incompetent people, if you buy anything buy at the store. And if you have to use their website or app, good luck!",2
2023,I love zara💝,5
2023,very efficient app,5
2023,J'aDore lots... Perfect ...,5
2023,This app is unreliable. It seldom works. You're better off just ordering from/ perusing the website.,1
2023,Great content and usability!,5
2023,I Can't login my account！,1
2023,"The lastest update is soo bad. So many bugs are there, not able to load the image of product only.it is so irritating to use the app.",1
2023,Good App,5
2023,I gave 5 star because items are very nice in app but it not for middle class family 👪,5
2023,Unable to add peoduct to wishlist from either qr code or manually typin in the code. However it is working on ios.,1
2023,couldn't select store for pick up,1
2023,After update I cannot see any item in the menu. I just see a white screen that's it.,2
2023,The most irresponsible brand I would say. I've ordered some shoes from them. it's been 13 days since I ordered them.the courier service is showing for the past 10 days that the parcel in is my city but they are not delivering it.... and everyday whenever I go to check their website it extend 1 day for the delivery..e.g. today is 19 September when today I checked it says they will deliver it tomorrow I.e. 20 September. for the past 10 days they are doing the same trend. Zara is doing nothing abou,1
2023,Great app,5
2023,Why so many updates??,3
2023,รูปเสียไม่แก้,5
2023,Standard in UK. I live in NL.,3
2023,Extraordinary bad experience. Never coming back to this.,1
2023,"everything you see in store, u can choose to buy from app and send to any Zara stores near you, it is very convenient!",5
2023,the UI on the phone sucks - the buttons are tiny and hard to hit! I do love the feature to tap your NFC card to auto fill details tho!,3
2023,"Zara customer service is bad. They aren't supportive. Had to give back a certain amount, which they don't take responsibility at all.",1
2023,"The option ""other payment methods"" with Visa is not available!",2
2023,good,5
2023,"Doesn't load at all,I have to un install it then Restall it to work",1
2023,lots of glitches,3
2023,Great services and great retailers.,5
2023,I love the look of the skirt,5
2023,I have a great experience!,5
2023,Third class customer service!! Such disappointment!!,1
2023,It's not taking any Indian address. Pathetic,1
2023,I ain't a ugly one now thanks Zara,5
2023,terrific experience,5
2023,Good,4
2023,I used to like it but the current version is terrible. everything is too complicated especially search and navigation.,2
2023,great service,5
2023,The latest version is very disappointing. Worst user interface I have ever seen. The design from filter buttons to font are ridiculous. The designer's ego has gotten in the way of creating a truly user-friendly experience.,1
2023,cool store,5
2023,I can't log in for a last few days. It says: Your request cannot be completed at this time. I uninstalled and installed the app again but nothing changes.,1
2023,"Great app ,good quality garments",5
2023,Terrible user experience.,2
2023,app is a bit fiddly,3
2023,Hehehe among us,5
2023,Whoever designed this app needs to be fired asap,1
2023,Luhv the zara its the best for everything🥳,5
2023,"The previous app version worked flawlessly. Now it is buggy, slow and the previous app design was much better.",3
2023,"Es ist wirklich unübersichtlich. Ich lag die Produktansicht nicht, da sich viele Teile wiederholen. Es ist insgesamt kompliziert aufgebaut.",2
2023,"The wish list function is not working, cannot see pictures. Total pain have to go on my laptop to order",2
2023,"In regards to ordering/service- great app. However, certain items have been mismatched for about 6 months. Example- I create a search for flats and scan downward. The items could be off by 1, 2, etc. I'll click on the initial picture of flats I like. After clicking, the item (on the previous menu) just before appears, and so on. Droid phone/app",5
2023,"Hi there, my friend had this app for long long time. After update, icon stayed the same but the name changed and there is no more option POD ?!?! The name of the app is design-system-compose, but it apears when you install it. Is this copy or what?? You are robbing people or your app is compromised???",1
2023,Awesome,4
2023,"Bad app with very bad customer service , their customer service always use the same lie; we will contact you later regarding your issue..... then you will never hear from them again. Just a cheap way to lie to the customers. The app itself is very bad and slow, the fact that you have to see a model showing you the product is kind of old, nowadays most apps have the option of showing the product on model or no. Your cart will disappear suddenly so you will have to start over!",1
2023,Horrible ..can't even register,1
2023,"it's to complicated, so many steps!",2
2023,love Zara,5
2023,"Amazing shop, easy to understand app, easy to check measure to find your size, super cool quality of product. Really recommend",5
2023,Worst,1
2023,This app is soo boring like it's so slow and when ever I try to register it won't happen 😒,1
2023,Fab choice and easy to set up.,5
2023,App was very good all these days and with the recent updates am not able to use it ( I MEAN APP IS NOT EVEN OPNEING NOW),1
2023,nice dresses..easy to buy via online..,5
2023,"The latest update is so bad!!! there is no option of filtering through categories. I don't want to go through everything while i just want a dress, the interface has become so bad, bad user experience, not an enjoyable design, fire yourself ui ux designer asap and please get us back the old version. Uninstallling the app till then.",1
2023,The worst eCom user experience ever. The buying and finding experience was much better before this ridiculous and unnecessary design change.,2
2023,"Incerc sa aflu informatii legate de un retur prin chat. Se raspunde extrem de greu si cu 0 informatii utile, la un moment dat le am spus ca nu imi raspunde la intrebari, mi au spus ca am o atitudine si mi au inchis chat ul. Am deschis alt chat pentru a face sesizare, mi s a inchis si acesta, pentru ca nu voiau sa imi dea o adresa de mail unde pot face sesizare. Mentionez ca nu am folosit cuvinte nepotrivite, doar le am mentionat ca nu mi au dat nici o informatie.",1
2023,Good for me,5
2023,"Everything seems to be good! The clothes are good, and the quality feels on par seeing the price tags. But, i have one suggestion, why would there not be an option to review the clothes or other accessories we purchase on your platform? Well, the platform like H&M has the option to review their products. Hope you guys look into it.",3
2023,son muy malos ' el delivery tarda unas dias más de lo que está fechado. Y cuando hablas con ellos te tratan como un tonto . no aconsejo nadie comprar por Internet De ellos,1
2023,Boycott Zara Zara sale cow lather chappals and shoes,1
2023,there is no system of points that can be collected from purchases and then used for discounts and free purchases,1
2023,Love it!!,5
2023,Always a pleasure to navigate.,5
2023,i like zara its my favorite clothes,5
2023,I doesn't work. It's just loading but nothing is happening....,1
2023,Over priced not good quality,1
2023,Im not receiving The verification code although I tried more than 10 times,1
2023,"Why are pictures not showing up? This app is not user friendly at all....literally have to shut down and reopen app for the pictures to show up. Messy home page, wishlist hard to navigate......it was much better before.",2
2023,it's the worst website I've ever experienced,1
2023,the app has some bugs!,3
2023,Zara's clothes are of very poor quality. His clothes look good in the photos on his app.and the surface of their app is also not good.Zara's clothes are not good. HNM's clothes are good and its quality is also good and it is also available cheaply.Zara's delivery charge 250₹ but HNM has no delivery charge and their refund policy is also very good.,1
2023,Awful UX,1
2023,Amazing beautiful clothes ❤,5
2023,I cannot sighn in I have been trying for so long but still😡 Do not download it,1
2023,Just perfect.,5
2023,Bad experience very slow,1
2023,"I am not even able to log in after the nee update. In general interface is not user friendly at all, all CTAs are so low on the screen and barely visible",1
2023,Love zara,5
2023,Great,5
2023,Bad app quality,1
2023,"App is looking very good, moves very fast and is very user friendly.",5
2023,Too expensive,1
2023,The images either doesnt load or takes too much time even on a good network connection,2
2023,"Cannot login in the app, but I log in successfuly on web.",5
2023,New update sucks and the app itself looks pretty bad. Very bad design,2
2023,I can see letters,1
2023,that app is worst app return kar nea kea bde product payment nhi wapse krte account mai that app is worst app,1
2023,"Nothing loads, slow asf",1
2023,Good,4
2023,"The new UI update is terrible, unintuitive if I may say.. The previous one was much better, and the app is much slower for some reason. I really love your clothes, but the new updates are actually a downgrade.",1
2023,Everything is good but they don't bring back the items back to stock. The famous quilted chain bag is out of stock since several months but never comes back!!!,1
2023,still got no idea what I'm looking at 70% of the time,4
2023,awesome,5
2023,Scanning reciept and doesn't upload or save in the account on android OS version. Hoping ya'll can fix that feature 😁,3
2023,"Please reflect size with shape on the tag, it help estimate the right size",5
2023,Latest update. Pictures not loaded. Really upset.,1
2023,Nice app. I love the ease of navigation.,5
2023,Recent update is terrible! The images won't load! Can you please fix this problem??,1
2023,😍😍😍😍😍👍👍👍👍,1
2023,nice,5
2023,The layout of this app sucks. It is not user friendly,2
2023,Won't let me login despite me having the correct login details. I was able to log in on other devices using the same details.,1
2023,easy to navigate very convinient vast selection online vs im store,5
2023,Shipping charge is very high..should not be more than 99₹,1
2023,"Stupid, delivery service. I did not even receive the item and it says delivered. I filed an incident, but they say it's delivered. I just spent 70$ on thin air.",1
2023,The worst shopping app I've ever used.,1
2023,♥️,5
2023,"Everytime I open the app there are no photos or pictures, just the writing. When you click on an item to look at it and go back, it takes you right back to the top, quite frustrating when you have already scrolled through a hundred items. Please please update it or change it back to the original format.",1
2023,Frustrating app. Logs you out on it's own. Can't even log in again.,1
2023,"Apparently, you have added the option of ""scan receipt"" just recently which is great. But it's not functional. I mean when I open that new option, I get things like : Add ticket, Scan the product QR. However, nothing happens when I click on those two features! Would you please solve this issue as soon as possible. Thanks!",3
2023,Last update is bad,1
2023,Hopeless after upgrade,1
2023,"Zara itself has the worst customer service,it blocks online shopping and creates instore pickup anytime .",1
2023,It doesn't work properly. Always asking me password and a popup appears saying that mail and password don't match. Dissapointed.,1
2023,Good,5
2023,"""I ♡ ZARA""",5
2023,Very slow and confusing app,1
2023,works well :) needs to have the option to list all the items the model wears in the ensemble,4
2023,"New version doesn't show pictures of items in your cart, new items don't load anymore only the item name and price?? New items when you can view them are out of stock. Then it's the dumb sounds the app makes. Zero stars",1
2023,Absolutely useless. Keeps crashing or refusing to connect.,1
2023,Terrible online experience I purchased a blouse online and return it 16 days ago and till now they don't refund me I got the refund reset but the money doesn't return to my bank account There no phone available for customer service in Egypt!!!!! So I have to go back to the store to make a problem there.,1
2023,Ajeeb ich hai ye..,1
2023,Keeps not letting me log in,1
2023,nice products 👌 👍 😊 😍,5
2023,"App was fine the way it was until they changed the layout to a terrible one which is an eye sore. When I click on an the image of an item it will show a different item! Zara app, what happened to you???",1
2023,"Got really bad.Once was my favorite app, I used to order a lot. But lately I often can't get authorized, every time it makes me change the password. I talked to support but they just told me to change password, and then try again, and then try from pc. So now again I'm out of my account and I can't log in. And when you scroll I'll down then click on the item so to see description , then get back to the list it brings u all way up to the beginning 🤣",1
2023,"Nueva version muy lenta, pide update cada 2 por 3. Era mucho mejor",2
2023,What's with the pop-up error message with each log in and when adding to car....? 😑😖💀,1
2023,"The latest update is a disaster: 1. If you click on an item and click back, taken back to the beginning of the list. Clicked on item halfway out of 400 items clicked back and sent back to the beginning of list 2. When in Special Prices/Sale sections can only filter by Size/Colour/Price, no filter by Category. If I'm just looking for bags I don't want to scroll through 100s of other items 3. Sections are too basic e.g. Accessories/Jewellery no direct link to Scarfs/Sunglasses/Belts anymore.",1
2023,"So annoying. You click to view a product, you press back, it takes you back to the top of the list. This happened with the old version too. Such a basic function that doesn't work",1
2023,It doesn't want to download,1
2023,I could not use promo code .because promo code option could not show up,1
2023,New user interface is not good at all.. please revert back to old one.,1
2023,Can't even log in 95% of the times I try to log in...,1
2023,This aap is very good for our clothes,5
2023,"the location doesn't work so I have to pay shipping for each order when I'm living near a zara store, support is the worst, overall a negative experience using the app",1
2023,we need more Zara stores,5
2023,There are always troubles with this app. Very disappointed 😞,2
2023,"Very good App, excellent functionality, and frequently updated. Before use, it is helpful to check if there is a new update",4
2023,scammers! by far one of the worst in online shopping.,1
2023,The worst app known to mankind. Painful to use. Don't know what's worse the service on their stores or the app. The only justifiable purchase is during the sales. Don't waste your money on full price items.,1
2023,"New version is awful, I can not select store for drop point. Button does not work.",1
2023,The latest update is very discussing. The app is very laggy and unresponsive.,1
2023,"2.new update is the same problem, pictures cannot downloading, I have to close and open again, can you update it?? The new update is bad and cannot downloading the pics of the clothes, every time I have to close and open again. Can you please fix it and also the sound. Very annoying! Jó napot, folyamatosan lefagy az alkalmazás ha az egyik kedvencek listát megnyitom,teljesen használhatatlan, lehetne kérni valami frissitest ,hibák javítását? Köszönöm",2
2023,"Poor service, what they always do is to apologize, they kept my Order at the warehouse for two weeks even today it has not been delivered.",1
2023,Very slow seems like zara isn't interested in online stores.,1
2023,Having trouble to install,1
2023,I hate the sound with every click and i uninstalled it because i thought my phone is bugged and also no filter for the least price to high and high to low,3
2023,Every week new update and app is slowr and slower. In the newest version when i make order and choose place to pick up the the select button od the pick up location does not work. Deleted and install older version,1
2023,Can't log in,1
2023,Love zara,5
2023,quality product with a mid range price..,5
2023,You request cannot be completed..always pop up like that everytime enter my account..please fix it,1
2023,"I am unable to select a pick-up store for clothes in my cart, and whenever I enter an item and go back, it takes me to the beginning of my list of saved items, which is quite frustrating.",1
2023,with latest update i cannot log-in anymore. i need to use web browser and log with same credentials that don't work with app. them what's the purpose of it?!?!;!,1
2023,"Since the update the app is no longer usable, unable to nominate a dropoff point!",1
2023,I love Zara app,5
2023,really dangerous if you like shopping awesome ways to save and create lists,5
