Year,Review,Rating(out of 5)
2023,Great App Overall ??,5
2023,love the fabrics and designs. The APP is a little difficult to navigate - not intuitive,4
2023,"Beautiful, quality and classic.",5
2023,"Osagara Ortega badge address Emily ar scorecards, outfit kinks pink slips",2
2023,"For years, I have shopped at BR. The ease of style and quality of material are what keep me coming back!",5
2023,"the app works great, very easy to navigate and they have a great selection",5
2023,Great,5
2023,Honolii staff by hilobay students apply,5
2023,EXCELLENT PERFORMANCE! ??,5
2023,thanks ?? Karlea Elizabeth Clements,5
2023,"I read the negative reviews, but thought I should see for myself if they were justified. They are, indeed, not wrong. I uninstalled this app as quickly as I installed it. I don't order frequently from this store, anyway.",1
2023,The worst app ever ! I don't know why banana can't change or do something about it!,1
2023,Awesome selection of the world clothing ??,5
2023,"Get the card,earn cash back, shop and look great",5
2023,Exceptional updoings ????,5
2023,No comments,5
2023,Thanks BB,5
2023,"2023 Update: Stability issues remain. Always slow to load, even on high quality wifi. 2021: I frequently ship the Gap website. This app very frequently says ""oops something went wrong"" when the website is working.",2
2023,love the fit and style...wait till it's on sale.,5
2023,"Size filters do not work properly, makes for an awful shopping experience.",1
2023,Hot girls shop here,5
2023,"There's an issue of slow loading, and I had trouble using the checkbox ""use the same address for shipping"", as checking it deletes everything and made me enter both manually. Other than that, i think the app is perfect and the display of items is simply decent.",4
2023,Not easy. I'd like 2 browse first an it will not let me oh well money kept.!!,1
2023,Great customer service. Quality merchandise. A real class act.,5
2023,always order easy to use !,5
2023,This app always takes a long time to load everything . I can never use it when I need it.,2
2023,"Application is easy to use. All new products highlighted, which means I can easily shop for them as they were released. Also the variety of products makes it easy to shop for different styles.",5
2023,"Love banana republic, but the app rarely works. Even with solid internet via wifi, pages refuse to load the majority of the time or take an exceptionally long time. Clicking on notifications typically results in the app opening with nothing depicted.",3
2023,The app has been horrible since day one. It's better to use your web browser,2
2023,Limited selection and bedding link didn't work,2
2023,great app and like what clothes and accessories they sell,5
2023,"Between Gap and Banana Republic, along with a great inventory, they are my go-to for just about everything",5
2023,"It freezes, it never opens, and it sucks",1
2023,So slow to load the pages compared to other apps. Please improve this.,3
2023,Doesn't load can't stay logged in first save my password payments don't post,1
2023,Super glitchy and constantly crashing,2
2023,Oooo lol,5
2023,"Trying to set-up acct, but it keeps freezing",1
2023,"The latest update is terrible. You can't even load the stuff that is available for sale, and it constantly logs out of your account, so you it's tough to track your point status.",2
2023,Connection problems every day,1
2023,It's usually not up-to-date. It's slow to load. I keep having to Uninstaller then reinstall to get an update.,1
2023,Constantly signs me out. This makes it difficult to keep using the app.,1
2023,"This apps needs a major overhaul. It's always has some ""unexpected error"". Get it together, Banana Republic. This is disappointing.",1
2023,I can't stand retail apps that can't save my information when they update! You have definitely lost sales because of this. Fire your app team and get a different one.,2
2023,The classic tailored look of Banana Republic is a welcome to the messy boho look.,5
2023,Never works.,1
2023,"Wanted to love the convenience of shopping all their brands in one app, but rarely works.",1
2023,Nearly all of the shopping categories result in an error with no way to browse product,1
2023,The worst app ever will not let view a single item without a bug was gonna make big purchase. Just uninstall big brands like this to have terrible shopping apps.,1
2023,"Great store, atrocious app. Never loads, blank screens, purchases don't process. It's like they don't want me to spend my money.",1
2023,great app and great service in store,4
2023,Freezes - can't actually make any order. Also keeps selecting shipping address that's not the default.,1
2023,"I love the quality, customer service, and sales!",5
2023,The app loads like you're using 3G data.,1
2023,"The absolute worst retail/shopping app I've encountered. It doesn't load. Right now, it keeps saying I need to update it although its the latest version. In the years I've had it, it hasn't worked way more often than it has. Ridiculously pointless. Dont download. Save the memory on your phone!",1
2023,Good ap to have.,5
2023,App takes so long to open. So I will have to remove app from my phone unfortunately.,1
2023,loyal,5
2023,Doesn't anyone test the update prior to lunching it? You just pushed an update an hour ago and now the app doesn't work.,1
2023,"The past couple updates have made the app basically unusable. I spend more time staring at a flashing ""BR"" than shopping.",3
2023,app is a pain.,3
2023,"My Girls Love BR Swimsuits. They are 5yrs, 8yrs, 12 & 15yrs old. OK. Me too...Not Givin My Age.??",5
2023,app crashes,3
2023,App crashes frequently. Try to set store - app crashes Try to set multiple filters - app crashes,1
2023,"The app takes a long time to load, if it loads at all. Haven't been able to shop on my phone for months. It also requires me to sign in everytime. Please fix this app!",1
2023,Doesn't work,1
2023,Worst Shop ever. DON'T BUY HERE. they won't even exchange to a smaller size of same item if you bought it on sale. Same with GAP and others in the same company. NEVER BUY SALE ONLINE IN THESE STORES.,1
2023,THE TRUTH WILL SET ANY INDIVIDUL FREE AND THE GAP CAN BE FOR THE REAL FRIENDS GET THIS APP IT GOT ME,5
2023,"The app has terrible functionality for basic things. It will close randomly, make me sign in at least once a week, and pages take forever to load sometimes. I've had to either go back to the previous page and then re-tap the page I want to load before anything will come up, or close the app entirely and relaunch to get pages to load. Crazy that basic navigation is so buggy. Not to mention certain filters won't even work sometimes forcing you to scroll through many items.",2
2023,occasionally app crashes,4
2023,crashes every once in a while and kinda clunky.,4
2023,Quality affordable and stylish clothing.,5
2023,Too many bugs for an app to use in 2023! We expect a better search field. Page starts from beginning when you go back from one item.,2
2023,"still buggy. you can be applying for credit card, looking at offers, checking out and app will close. but you get extra 15% off for ordering through app",2
2023,This app loads so slow,1
2023,This app version is absolutely terrible and never functions correctly.,1
2023,Does not keep filtered search. After I curate a filtered list of clothing I want to search from I click a shirt or pant to view. When I go pack to the main list the filtered criteria is gone and I have to select size and type of clothing I am searching for all over again. Very frustrating. Often has an error when first opening. Needs to be restarted frequently.,2
2023,App is pretty bad. Doesn't load and if it does usually takes 10 minutes per click. I've seen other users have the same problem since 21 but the issues were never fixed. Honestly not really sure why you would make an app and never fix the issues.,1
2023,Weak Slow,1
2023,best fit,5
2023,Is this app still updating??,2
2023,Very slow and sometimes doesn't even load properly.,1
2023,"Wonky, doesn't work 50% of the time, navigation is from the stone age.",2
2023,Freezes up often. Won't get past the BR loading screen. I unistalled.,1
2023,"It keeps malfuctioning. Everytime I hit the ""shop"" icon and then the ""men"" section it says ""something went wrong"", no matter how many times I try to refresh it or close the app and reopening it, now it's telling me to ""update"" when all updates are currently installed....",1
2023,App freezes open opening. Can't click on anything s22 ultra,1
2023,Love the quality!,5
2023,"Love the quality, the designs, everything. I always feel ""put together"" when I'm wearing Banana Republic!",5
2023,one of the best brands,5
2023,App opens fine but that is it. Once you select a category it gets stuck on the loading screen.,1
2023,App is very buggy. Slow load times and filters reset after viewing items.,2
2023,My kid loves this so I am an advoc ate,5
2023,"a few glitches here and there, but overall great experience purchasing my favorite pieces through BR app.",5
2022,"Half the app doesn't work..filters don't work, category links don't work, the whole process of trying to return or exchange an item is frustrating. Not sure what was wrong with the old version that worked just fine? This one is aggrevating to the point where I don't want to shop here until it's fixed.",1
2022,I cannot download the app.,1
2022,Poor performance and bugs summarize my experience with this app. Filtering does not work. Signing in to the app is inconsistent and load times are poor.,1
2022,Ridiculous Loading Times if it loads at all.,1
2022,I love ur style..have not change ..I was a fan.in 1990s..,5
2022,"great images, really convenient, but sometimes doesn't load.",4
2022,Such a slow app. Extremely buggy. It takes forever to load and when you go back you lose your original filtered search so you have to do the filtering all over again. Stick to desktop version,1
2022,"Banana Republic is one of my best clothing stores. They really knows how to dress a man. As a future investor, I have to make sure that I look my very best. Banana Republic makes sure of it.",5
2022,This app needs help! Takes forever to load items. Search filters need work as well.,1
2022,"Just never has or still doesn't work well, why?",1
2022,I love the quality of the clothing,5
2022,"One of the dumbest app from the retailer, the filtering never works properly, shows sizes after multiple attempts but with wrong sizes. Can't believe I am in 2022 and using an app like this. ??",1
2022,I am new to BR and I love my new style!,5
2022,Won't load any merchandise. The shopping categories lead to a blank gray dimmed page.,1
2022,great app to have although sometimes it glitches,4
2022,"No place to add redeem gift cards either on website or app, horrible design",1
