Year,Review,Rating(out of 5)
2023,"This is the worst shooping app ever. It won't open 70% of the time, and when it does its stuck on white screen and freezes my phone. I have a new phone btw not an old one. And if by some miracle you can get onto the app to shop it will barely let you see 5 items before it crashes or freezes. I've uninstalled it, updated it, messed with it in settings, and it's still horrible. Just use Google to shop.",1
2023,"Hit or miss on whether it even loads, too many items make it cluttered and slow (if you have 1 shirt in 13 colors, just list it once and not 13 different times!), frequently sends me ALLLLLLL the way back to the beginning of the scroll when I back out of an item page. That's a long way to go back when you have 10 of the same general item with 13 different colors listed individually. I've given up on quite a few shopping visits because of this.",2
2023,"After using the app only a few days, I can honestly say it needs work. As someone also mentioned in the reviews, Old Navy app does NOT need to make a listing for each item and its different color options. They should really just have the item once, let us click, and choose a color, mainly to save the user time from scrolling and from laggy app experience. On top of that, the app itself is really laggy overall and it's hard to navigate through when I'm trying to compare in-store prices vs online.",2
2023,The app has never worked properly and has only gotten worse with time. One of my biggest complaints being you can no longer make your card payment in the app. This is only second to the fact that if you are browsing and select an item to see colors and sizes and then go back to browsing you are returned to the top of the page and completely lose your spot. Get it together.,1
2023,"The app has always been a bit hit or miss, but it's been basically unusable for months. I can no longer pay my CC on the app either. It hasn't updated since March, even though the payment history and balance is correct when I call. The favorites page never saves anything even when logged in, if you're even lucky enough to get to the shopping pages. Usually, it just gets stuck on a loading page. I'm just going to delete the app and only shop in store. It used to work great but not anymore.",2
2023,"App has been super glitchy, doesn't load properly. App keeps telling me pages cannot be found, when I'm scrolling through items it will put me back at the top of my search. It does the same thing I've looked at an item too. I've also had issues with my credit card payments not going through on the app. It's way easier, and safer, just to use the browser. The app isn't worth the hassle anymore.",1
2023,"The app has been extremely glitchy for a while now. When trying to scroll, the app hesitates and idles each time to move down the page. If I click on an item to view and hit the top back arrow to go back, the page refreshes and takes me back up to the top instead of staying where I left off. Because of these frustrating issues, I have not purchased anything out of frustration of having to repeatedly start over or the app taking too long to respond to a simple page scroll.",2
2023,"The app seems to lag alot. Occasionally, I'll be searching and the app will just close. Another frustration I often encounter is when I click an item to view more images, colors, or sizes and decide to go back, my place does not get held. It sends me back to the very top and I have to find my place each time.",1
2023,"I feel like the rating of this app is just based on the store and not the app. The app is terrible! Everytime I download it, I have to delete it again and again. Nothing improves. Sometimes it doesn't load, sometimes it tells you an item doesn't exist, it doesn't take you back to the same spot on the page after you view an item, etc. Needs a lot of work",1
2023,"This app never works well. It sends you back to the main menu if you click to go back from looking at details for an item. So then you have to find where you lost your spot every time. This happens when you add something to your cart too. It takes forever to load and it's not me, everything else loads quick. Target, Walmart, h and m. All quick. For how much money this company has, you'd think they'd have better technology.",1
2023,"The Old Navy app has been consistently frustrating and glitchy for months now. When I try to load the ""shop"" page, it gets stuck on a loading screen permanently. When I try to open the categories for shopping, sometimes it opens, sometimes not. And half the time even if it opens, when I select a category to shop, I get an ""uh-oh something went wrong"" page. So frustrating. Frequently resets me back to the top of my search. Just a really obnoxious unreliable app.",1
