Year,Review
2021,"This new app does flow a lot better than the last one, the shopping process and navigation seems more fluid. However still a couple cons to mention - there is no longer the option to shop on Gap Factory. Also when you're browsing and press the back button, instead of taking you back where you left off, it scrolls back up top of the page, so you have to scroll all the way down again. Also there's no option to ""sort by"" with the filter feature."
2021,"Checkout is confusing, I installed the app thinking it was going to be less hassle than the web page, but everytime I tried to checkout it showed me that I was going to get charged for shipping when I get free shipping with my card, if I wasn't paying attention I would have placed the order and would have gotten charged for shipping. It also listed a different address (a relatives) as primary I had to delete it so I could continue. I would say it does have easy access to rewards and coupons"
2021,"App is a serious downgrade from the last version (which didn't seem possible). That I have to re-download it every time I open it is a frustrating reminder. If it were were to fix the bugs-added feature of the update, that'd be great, but, nope: just as it can no longer remember where on a page you were browsing if you click on an item and then go back, it also can't remember that you've upgraded the app ten times already. At this point, I just want to pay my bill and be done with this company."
2021,"After looking at item details and you try to go back to the previous screen, it starts at the top again. It's so annoying! I scrolled through pages and pages...looked at an item, and then had to basically start again, it doesn't keep your spot. I am excited about the ability to ? items because I have always wanted a favorites list for Old Navy and this has it! Thanks for that feature....but please fix the scrolling problem."
2022,"The browsing experience is good, not great. The app sometimes lags. Checkout experience could use some work. I keep getting an error message when trying to check out, even after clearing my cache and data. I even uninstalled and reinstalled the app and am experiencing the same issue. The promo code for using the app would be great if we could actually check out!"
2021,"I was excited to see that there was anew app available since the last one was exceedingly slow... In this new one the shopping interface looks good but the actual payment & billing portal hasn't changed at all and still has the same issues. Slow and I kept getting an error when trying to look at my account summary, statements, etc. Not really a new app. Try again."
2021,"The new app has updated my shipping address to the wrong location twice now. Upon checkout the correct info displays but now two orders have shipped to the wrong state and it's really hard to get help from their customer service team. The new app won't load my order history. When you go back, it does not save where you were so you have to scroll to get back. Cannot find gap factory. The old version was much better. New version is awful."
2023,"3/2023 Update! Another app update. And yet, you're still redirected to the very beginning of your feed when you hit the back button. If you've scrolled through dozens or hundreds of items, you'll have to scroll past to locate your previous place and hopefully you remember where that is. I wont be ordering anything from this app. Waaaaaayyyy to frustrating."
2021,"It's meh. The website, mobile or otherwise, is still more user friendly and better. You can't 'sort by' on the app, for example. And when you add something to your cart and go backwards to continue looking, it brings you to the top of the page instead of where you were. The mobile website has these features."
2023,What's the point of this app? I downloaded thinking all be able to scan the items in store to help see it online and it won't scan. Says it's none of the barcodes are recognizable. Really bad app.
2023,"I love Gap! It's easy to shop online. I don't have time to shop. Excellent quality clothes, great sales, and my granddaughters always adore their clothes! Thanks, Gap, for making life a little easier."
2023,"I am repeatedly asked to update the ap ""for a better app experience"". I have tried updating it several times now and I cannot even access my account. How is this a better experience? This is very frustrating. I will soon be deleting this app if this continues. I cannot access shopping, either."
2023,"Still cannot pay for Gap card balance. Every attempt to pay for card balance on the app gives an error message as soon as you click on the ""pay"" button. Been like that for over a month, the update didn't fix that."
2023,It's as if the Gap team doesn't optimize the app experience at all. You'd probably make more sales if you did. On an S23 with full bars I can't get anything to load without ridiculous load times. For as much as the mobile browser pushes the app you'd think the app would be better than it is
2023,"Unhappy. I had to uninstall and reinstall just to get the uodate to stick. Now the filters do not stay set. I filter for mens then search shorts and I see both men and women's items. I filter shorts then narrow down to mens and see all sale items. If youre going to give incentives to use the app, please make the app worthwhile."
2023,"I can't save to favorites, it won't ever load correctly. It's updated I thought maybe that was the problem but it continues to happen. I can't ever search through the app for kids clothing"
2023,"Love Gap clothes for granddaughter. Great quality with good fit. Clothes look still new after many washes. With sales often get clothes for similar prices of Target, Old Navy etc. but much better quality. Typically get several seasons out of clothes which saves as well."
2023,"The app responsiveness is very bad. I downloaded app to get additional 20% discount if we shop from app. But adding the promo code, the updated shopping cart did not load and did not let me checkout. Defeats the purpose of the promotion. Very bad app design."
2023,Gap sometimes has the absolute best sales!!! I luv it! it's worth ones time :)
2023,Great love easy to navigate easy to purchase!
2023,"Not sure why Gap Inc still has a different app for each brand but none of them work properly, especially the wallet area. You would think they would make credit card payments as easy as possible."
2023,"Keeps crashing even after update, I can't add anything to my bag I just get the circle of death and then the app closes. Kind of funny I was going to make a purchase today but you lost my money!"
2023,Not great. This app seems to error out more than any other app I have ever used. It's also extremely slow when it loads.
2023,"As a man, I love Gap's simplicity and it's not overwhelming shopping there"
2023,"The app for almost a year actually won't keep your favorites. When you are logged in and press the heart to favorite items and then go back to review your favorites altogether, nothing will be saved. Also while scrolling and you click on items to view them larger and go back to the page with all the items it will bring you back to the top to everything you already viewed, causing you to have to scroll beyond them again; sometimes it will refresh the items in a different randomized order."
2023,"I've got the gap credit card, and making payments on the app is not smooth, in my opinion. Always has errors. And when you do make a monthly payment, it doesn't update the payment due date, which makes you wonder if the payment went through."
2023,my go-to for clothes they just fit me well and accentuate my style.
2023,"Their app sucks. It's worse than their website. Even worse is we ordered something, and they acted like it was being shipped by UPS, giving us a tracking number. After several days, GAP website shows that UPS still has it, yet UPS website shows it was forwarded to USPS. Now with a USPS tracking number, the USPS website shows pending. After a ""FULL SEVEN DAYS"" I requested a status through USPS Customer Service to be informed that they never received it. GAP Cust Service says to keep waiting.?."
2023,"This app has not worked for me for the past three months. I have updated, deleted, and reinstalled numerous times."
2023,I can't even get anything to load when I click any link from the home page. Haven't been able to in months. Terrible.
2023,Gap is great. their app not sure much
2023,always creative selections
2023,Keeps crashing when I go to login
2023,so many styles of jeans to choose from now!! thank you
2022,"This app asks to sign in several times after I click on any item to add to cart and even after signing in it still says ""refresh - something went wrong"" and never works to add anything at all to cart. I've tried it for several days and same thing is happening on both my tablet and phone. Will shop somewhere else because it's happening with BR, old Navy, gap and Athleta."
2023,app runs a little slow. I wish you could tap add discounts like online instead of copy/paste discount codes
2021,Paying my Gap card is such a challenge. The app doesn't work to do this and when I login to the mobile site - I get an error message. I have to hit refresh or try different parts of the day to get it to work. It's beyond frustrating. I was just upgraded to a Visa signature card and considering cancelling because it is not user friendly to pay bill online.
2022,"Its rare for a company to create an app that makes it more difficult to purchase. I went from buying 3x/mo to buying every 3 mos 100% due to the new app & UI. Constantly have to log in, (rewards log in doesn't get past login so no access to wallet) can't access rewards or see deal details, and can't access gap factory. This is ridiculous."
2021,"I love GAP....always have. Going on 20+ years now. The quality is mostly there and everything washes easily and looks good for years (when passing on clothes to younger siblings). It's just easy, good quality, keeps up with the styles and feels good. Also, ordering online or doing any returns has been easy too. Always feel taken care of.?? I'm to spend my money at the GAP. Worth it."
2022,"Excellent fit, extraordinary style, extremely trendy styles, amazing prices, fabulous selection and variety of different styles and fashion choices for all genders to choose from and all at great locations. If you're anywhere close to the Wichita area there is a very nice sized GAP Store located right there on the East Side in the Mall. And it's really easy to find!!! You can place your order online and then then select the nearest location to you to have it delivered to and then go pick it up!"
